,Interval_length,group
0,3.70617794053811,CSSA-M
0,4.4752476734014,CSSA-M
0,3.89344191299412,CSSA-M
0,4.17166109957424,CSSA-M
0,3.49259853657558,CSSA-M
0,4.24498791890295,CSSA-M
0,4.14215936514504,CSSA-M
0,4.10618070691044,CSSA-M
0,3.84005223534201,CSSA-M
0,3.95532952640583,CSSA-M
0,3.79752858195392,CSSA-M
0,4.02306074613848,CSSA-M
0,3.76788040309266,CSSA-M
0,4.20495856586582,CSSA-M
0,4.18424953502419,CSSA-M
0,3.88060978638679,CSSA-M
0,4.2653437505058,CSSA-M
0,3.80274632580117,CSSA-M
0,3.71770748630766,CSSA-M
0,3.85601526957258,CSSA-M
