,Interval_length,group
0,3.62197663111409,CSSA-M
0,4.2748178630728,CSSA-M
0,4.05791375935682,CSSA-M
0,3.57577637551909,CSSA-M
0,3.92809053967091,CSSA-M
0,3.89392717508807,CSSA-M
0,3.64829781412306,CSSA-M
0,3.2936532425805,CSSA-M
0,3.91580093186206,CSSA-M
0,3.56344756784129,CSSA-M
0,3.86144181700611,CSSA-M
0,3.9890619829469,CSSA-M
0,3.5676240778277,CSSA-M
0,4.04018661719834,CSSA-M
0,4.16367586411889,CSSA-M
0,4.1726874761527,CSSA-M
0,4.09263315719273,CSSA-M
0,4.17002694499083,CSSA-M
0,3.75930663903419,CSSA-M
0,4.05138262623821,CSSA-M
