,Interval_length,group
0,3.62511625673706,CSSA-M
0,3.96691874475985,CSSA-M
0,4.31548083332343,CSSA-M
0,3.5223164580549,CSSA-M
0,3.80139114482605,CSSA-M
0,3.78845149439087,CSSA-M
0,3.96480635226656,CSSA-M
0,3.41394908300076,CSSA-M
0,3.3615585173326,CSSA-M
0,3.40704920082309,CSSA-M
0,3.57449416041372,CSSA-M
0,3.8831683223405,CSSA-M
0,3.23586403220783,CSSA-M
0,3.53617069378182,CSSA-M
0,3.94584135959337,CSSA-M
0,3.95867830690562,CSSA-M
0,3.93876158530885,CSSA-M
0,3.5903527996902,CSSA-M
0,3.6058623754313,CSSA-M
0,3.90725606597938,CSSA-M
