"","mean_low","mean_high","mean_y1_mean","mean_y0_mean"
"1",1759.94332205556,2997.41457072222,242.23,6330.23822222222
"2",263.129467888889,5724.97181511111,242.23,6330.23822222222
"3",1123.20703394445,3647.86069244444,242.23,6330.23822222222
"4",1575.89161855555,2668.45039972222,242.23,6330.23822222222
"5",1619.49142922222,2736.33132455556,242.23,6330.23822222222
"6",721.915406722222,4214.30351494444,242.23,6330.23822222222
"7",1097.26292583333,3685.55764122222,242.23,6330.23822222222
"8",1650.46536461111,2424.59590422222,242.23,6330.23822222222
"9",2251.14497577778,2990.40129,242.23,6330.23822222222
"10",648.061740055556,5503.18598088889,242.23,6330.23822222222
"11",1385.47821510317,4981.3373195,242.23,6330.23822222222
"12",476.22497004762,5153.20211015079,242.23,6330.23822222222
"13",56.5225614444448,5142.19810872222,242.23,6330.23822222222
"14",115.936544555556,5634.46463816667,242.23,6330.23822222222
"15",922.657236047619,5370.409633,242.23,6330.23822222222
"16",498.533550992064,5352.85635961111,242.23,6330.23822222222
