,Interval_length,group
0,4.17982039404676,CSSA-M
0,3.73987681782117,CSSA-M
0,3.84956183396095,CSSA-M
0,4.31049220695114,CSSA-M
0,3.6530765121809,CSSA-M
0,3.62779631542907,CSSA-M
0,3.21220874244674,CSSA-M
0,4.0855387865614,CSSA-M
0,3.78369969313765,CSSA-M
0,3.7864693600251,CSSA-M
0,3.81084151672682,CSSA-M
0,3.55542533731101,CSSA-M
0,3.70117256065725,CSSA-M
0,3.74484859383124,CSSA-M
0,3.64441009758213,CSSA-M
0,3.81164323724005,CSSA-M
0,3.66706981098733,CSSA-M
0,3.58248141040769,CSSA-M
0,3.53279843571296,CSSA-M
0,3.81117501462761,CSSA-M
