"","mean_low","mean_high","mean_y1_mean","mean_y0_mean"
"1",2885.07255952223,3457.58078946666,128.7392,2220.72725490196
"2",1667.66133253333,3944.27103873333,128.7392,2220.72725490196
"3",1947.41593322222,3060.55746208254,128.7392,2220.72725490196
"4",2409.28265554445,2888.71486867222,128.7392,2220.72725490196
"5",2074.6081116,2954.13923998889,128.7392,2220.72725490196
"6",1291.09523422222,3796.58635231111,128.7392,2220.72725490196
"7",1904.42379608889,3401.80643388889,128.7392,2220.72725490196
"8",2043.31799706667,2738.74699467222,128.7392,2220.72725490196
"9",3706.31755133334,3876.55360665555,128.7392,2220.72725490196
"10",1775.43753247778,3804.19650455556,128.7392,2220.72725490196
"11",1838.52328571111,3718.84413946667,128.7392,2220.72725490196
"12",2256.70384253333,3517.02357175555,128.7392,2220.72725490196
"13",1992.97988013333,3239.70034812222,128.7392,2220.72725490196
"14",2049.09530301111,3629.74525171111,128.7392,2220.72725490196
"15",1673.11352935556,3952.96506848889,128.7392,2220.72725490196
"16",1834.48878571111,3682.68414247143,128.7392,2220.72725490196
