,Interval_length,group
0,3.89531374494431,CSSA-M
0,3.70098853375173,CSSA-M
0,4.22277945989013,CSSA-M
0,4.12602180930069,CSSA-M
0,3.47681587201803,CSSA-M
0,3.90663521560709,CSSA-M
0,4.15805824995406,CSSA-M
0,3.63614269057681,CSSA-M
0,3.50216789641854,CSSA-M
0,3.65816126470444,CSSA-M
0,3.9552969466278,CSSA-M
0,3.98517187996278,CSSA-M
0,3.94798643601766,CSSA-M
0,3.62484968647891,CSSA-M
0,3.54514809688378,CSSA-M
0,3.69792586374075,CSSA-M
0,4.15356368879298,CSSA-M
0,3.62098321621824,CSSA-M
0,3.65262666864373,CSSA-M
0,3.96206924653355,CSSA-M
