"","mean_low","mean_high","mean_y1_mean","mean_y0_mean"
"1",-1.12346441754333,1.73899557594134,4.49445728789511,5.53070319219515
"2",-2.66807341151739,2.04196206001234,4.49445728789511,5.53070319219515
"3",-1.7060444083821,1.92529226529386,4.49445728789511,5.53070319219515
"4",-2.30415648277365,2.20257286981269,4.49445728789511,5.53070319219515
"5",-2.76963662519679,2.1885495002708,4.49445728789511,5.53070319219515
"6",-3.11657104185159,2.35154527258701,4.49445728789511,5.53070319219515
"7",-2.97295892786,2.24746359146178,4.49445728789511,5.53070319219515
"8",-1.54295495793658,2.03875013959985,4.49445728789511,5.53070319219515
"9",-2.4403668992959,2.22979729318154,4.49445728789511,5.53070319219515
"10",-0.564646130704874,1.45826407546147,4.49445728789511,5.53070319219515
"11",-2.54063677051053,2.18188122539719,4.49445728789511,5.53070319219515
"12",-2.56604537504281,2.02270735148114,4.49445728789511,5.53070319219515
"13",-2.55857896734908,2.02517462704567,4.49445728789511,5.53070319219515
"14",-3.13735858052062,2.37003511063389,4.49445728789511,5.53070319219515
"15",-3.10228898943439,2.41769566550865,4.49445728789511,5.53070319219515
